NDPI_Pre,NDPI_Post,NDBI_Pre,NDBI_Post,NORMALIZED_NDBI,NORMALIZED_VV,NORMALIZED_VH,RBR_NDBI,RBR_VV,RBR_VH,HH_Pre,HV_Pre,VH_Pre,VV_Pre,HH_Post,HV_Post,VH_Post,VV_Post,IRV_Pre,IRV_Post,Burn_Classification
-0.40883977900541196,0.6612377850160713,-0.40883977900541196,0.6190476190474226,1.0,0.40883977900541196,-0.6190476190474226,0.0,2.3831775700912305,0.23529411764696656,228.0,255.0,255.0,107.0,255.0,52.0,60.0,255.0,2.414201183431667,0.6775244299673163,1
-0.4049586776858389,0.3271028037382159,-0.4049586776858389,0.2640949554895359,-1.0,0.3271028037382159,-0.3456464379946318,0.0,1.972222222220396,0.4862745098037309,151.0,255.0,255.0,108.0,94.0,108.0,124.0,213.0,2.65279583875128,1.6520076481832404,1
-0.4154929577463326,0.5044247787609132,-0.4713375796176843,0.5044247787609132,1.0,0.5088757396448199,-0.4666666666665185,0.0,3.0722891566228046,0.3636363636362062,187.0,201.0,231.0,83.0,179.0,84.0,84.0,255.0,2.3928571428567866,1.1162790697672564,1
-0.019943019943014263,0.41666666666655094,-0.005780346820807578,0.6293929712458053,1.0,0.19437939110065705,-0.4999999999997845,0.0,1.482558139534022,0.3333333333331418,163.0,179.0,174.0,172.0,255.0,105.0,58.0,255.0,2.066378066377768,1.1666666666665046,1
-0.39887640449427,0.1811023622045818,-0.26962457337874757,0.3274336283182943,1.0,-0.17582417582407922,-0.6607142857139908,0.0,0.7009345794385973,0.2043010752687074,179.0,249.0,186.0,107.0,80.0,52.0,38.0,75.0,2.540816326530288,1.6061776061769861,1
-0.09041095890408482,0.1499999999998125,-0.11229946524061168,0.17948717948694937,1.0,-0.5660377358487897,-0.7333333333330279,0.0,0.27710843373477284,0.15384615384607989,234.0,199.0,208.0,166.0,49.0,34.0,32.0,46.0,1.994987468671429,1.668711656440694,1
0.0024330900243303083,0.6306306306303466,-0.04629629629628558,0.5670995670993216,1.0,-0.06459948320411768,-0.6376811594200589,0.0,0.8786407766986026,0.22123893805299946,162.0,205.0,226.0,206.0,129.0,41.0,50.0,181.0,2.10796915167068,0.8367346938773376,1
-0.11842105263154,0.2807881773397632,-0.17027863777084512,0.42076502732217447,1.0,-0.015151515151509413,-0.5619834710741479,0.0,0.9701492537306193,0.2804232804231321,177.0,170.0,189.0,134.0,45.0,73.0,53.0,130.0,2.0890937019966067,1.8193146417439816,1
-0.006342494714586397,0.43459915611796013,0.10328638497650158,0.6267942583729059,0.7170548597521912,-0.1604938271604542,-0.660869565217104,6.068508041100049,0.7234042553188411,0.20418848167528578,217.0,238.0,191.0,235.0,139.0,67.0,39.0,170.0,2.051724137930813,1.2099322799094334,1
-0.04508196721310552,0.5569620253162795,-0.04508196721310552,0.9679999999996128,1.0,0.027139874739034002,-0.969111969111595,0.0,1.0557939914158558,0.01568627450979777,210.0,255.0,255.0,233.0,131.0,70.0,4.0,246.0,2.1406086044069106,1.0831721470017246,1
-0.3569321533922251,0.5409836065571997,-0.4010989010987909,0.5932203389828498,1.0,0.3662790697673354,-0.6190476190474226,0.0,2.155963302750316,0.23529411764696656,255.0,230.0,255.0,109.0,72.0,70.0,60.0,235.0,2.233009708737593,1.2527964205813753,1
