NDPI_Pre,NDPI_Post,NDBI_Pre,NDBI_Post,NORMALIZED_NDBI,NORMALIZED_VV,NORMALIZED_VH,RBR_NDBI,RBR_VV,RBR_VH,HH_Pre,HV_Pre,VH_Pre,VV_Pre,HH_Post,HV_Post,VH_Post,VV_Post,IRV_Pre,IRV_Post,Burn_Classification
-0.2378640776698452,0.49523809523785944,-0.2378640776698452,0.652631578947025,1.0,0.0,-0.7708333333330657,0.0,0.9999999999993632,0.1294117647058316,216.0,255.0,255.0,157.0,248.0,53.0,33.0,157.0,2.310305775764178,0.8297455968687222,1
-0.11782477341386169,0.3435114503815483,-0.08176100628928247,0.4852320675103438,1.0,0.09316770186332511,-0.4763948497852033,0.0,1.205479452053969,0.3546511627904915,161.0,185.0,172.0,146.0,73.0,86.0,61.0,176.0,2.1861152141798836,1.6342042755340538,1
-0.10024449877748161,0.3203883495144076,-0.14617169373546493,0.36683417085408704,1.0,-0.14999999999995314,-0.5935483870965828,0.0,0.7391304347822071,0.25506072874483604,34.0,225.0,247.0,184.0,104.0,70.0,63.0,136.0,2.6946107784427102,1.473684210525928,1
-0.2563380281689419,0.5028248587567781,-0.24355300859591877,0.32999999999983504,1.0,0.0037735849056589536,-0.528169014084321,0.0,1.0075757575749944,0.3087557603685213,96.0,223.0,217.0,132.0,254.0,44.0,67.0,133.0,2.64688427299664,0.7410526315787914,1
-0.15646258503397814,0.5633187772923305,-0.15646258503397814,0.43199999999982724,1.0,-0.019178082191775567,-0.5644171779139373,0.0,0.9623655913973321,0.2784313725489104,193.0,255.0,255.0,186.0,122.0,50.0,71.0,179.0,2.2947131608546347,0.9975062344137163,1
-0.30379746835433424,0.62626262626231,-0.259259259259172,0.34728033472788816,1.0,0.18819188191874975,-0.41132075471682594,0.0,1.4636363636350331,0.4171122994650176,174.0,206.0,187.0,110.0,134.0,37.0,78.0,161.0,2.367816091953683,0.8021680216799995,1
-0.2911392405062554,0.4809160305339841,-0.2911392405062554,0.18292682926818116,-1.0,-0.1814345991560416,-0.5838509316768373,0.0,0.692857142856648,0.26274509803911267,242.0,255.0,255.0,140.0,83.0,34.0,67.0,97.0,2.286995515694811,1.096774193547945,1
-0.1860465116278637,0.4328358208948764,-0.1860465116278637,0.8823529411747405,1.0,-0.5695067264571437,-0.9767441860461331,0.0,0.2742857142855576,0.011764705882348328,192.0,255.0,255.0,175.0,3.0,19.0,3.0,48.0,2.3261117445835433,1.7078651685374069,1
-0.16438356164379808,-0.008264462809910524,-0.16438356164379808,-0.09774436090218215,-0.25422396866304486,-0.5061728395059646,-0.5548780487803187,0.5946115291834659,0.32786885245883723,0.2862745098038093,221.0,255.0,255.0,183.0,105.0,61.0,73.0,60.0,2.2319474835883772,1.7003484320551567,1
-0.10465116279066726,0.495652173912828,-0.1468144044320923,0.5779816513758816,1.0,0.05521472392636343,-0.6363636363633849,0.0,1.1168831168823918,0.22222222222211488,197.0,190.0,207.0,154.0,206.0,58.0,46.0,172.0,2.0793433652527935,0.9392712550605387,1
